source_index,Molecule,Isomer,Metal,split
395,C10H7NO5S_2,1Nitroso2hydroxynaphthalene6sulfonicacid,Nd+++,test
406,C10H7NO5S_3,2Nitroso1hydroxynaphthalene4sulfonicacid,Nd+++,train
417,C10H7NO5S_4,2Nitroso1hydroxynaphthalene8sulfonicacid,Nd+++,train
422,C10H7NO5S_5,2Nitroso1hydroxynaphthalene5sulfonicacid,Nd+++,train
430,C10H7NO8S2_1,1Nitroso2hydroxynaphthalene36disulfonicacid,Nd+++,train
437,C10H7NO8S2_2,2Nitroso1hydroxynaphthalene46disulfonicacid,Nd+++,train
444,C10H7NO8S2_3,2Nitroso1hydroxynaphthalene47disulfonicacid,Nd+++,train
456,C10H8N2,22BipyridineC5H4N2,Nd+++,train
468,C10H8O5S,23Dihydroxynaphthalene6sulfonicacid,Nd+++,train
469,C10H8O5S,23Dihydroxynaphthalene6sulfonicacid,Nd+++,test
479,C10H8O8S2,18Dihydroxynaphthalene36disulfonicacid,Nd+++,train
487,C10H9N3O2S,22Thiazolylazo4methoxyphenolCH3OC6H3OHNNC3H2N2,Nd+++,train
494,C10H9NO4S,2Methyl8hydroxyquinoline5sulfonicacid,Nd+++,train
518,C11H12N2O2,2Amino33indolylpropanoicacidH2NCHCH2C8H6NCOOH,Nd+++,calibration_global
519,C11H12N2O2,2Amino33indolylpropanoicacidH2NCHCH2C8H6NCOOH,Nd+++,test
525,C11H12N2O2,2Amino33indolylpropanoicacidH2NCHCH2C8H6NCOOH,Nd+++,train
530,C11H13NO3,N12Hydroxyphenylethylidenebetaalanine,Nd+++,train
538,C11H13NO4S,NAcetylacetonylideneorthanilicacidHO3SC6H4NCCH3CH2COCH3,Nd+++,train
557,C11H13NO5,N2HydroxybenzyliminodiethanoicacidHOC6H4CH2NCH2COOH2,Nd+++,test
558,C11H13NO5,N2HydroxybenzyliminodiethanoicacidHOC6H4CH2NCH2COOH2,Nd+++,train
579,C11H14N2O4,N6Methyl2pyridylmethyliminodiethanoicacidCH3C5H3NCH2NCH2COOH2,Nd+++,train
615,C11H18N2O8_1,12DiaminopropaneNNNNtetraethanoicacid,Nd+++,calibration_global
616,C11H18N2O8_1,12DiaminopropaneNNNNtetraethanoicacid,Nd+++,train
617,C11H18N2O8_1,12DiaminopropaneNNNNtetraethanoicacid,Nd+++,test
618,C11H18N2O8_1,12DiaminopropaneNNNNtetraethanoicacid,Nd+++,calibration_local
646,C11H18N2O8_2,13DiaminopropaneNNNNtetraethanoicacidHOOCCH22NCH22CH2,Nd+++,train
647,C11H18N2O8_2,13DiaminopropaneNNNNtetraethanoicacidHOOCCH22NCH22CH2,Nd+++,test
663,C11H18N2O8_3,13DiaminopropaneNNdi14butanedioicacid,Nd+++,train
676,C11H18N2O9_1,13Diamino2hydroxypropaneNNNNtetraethanoicacid,Nd+++,train
689,C11H18N2O9_1,13Diamino2hydroxypropaneNNNNtetraethanoicacid,Nd+++,test
702,C11H18N2O9_2,2Hydroxy13diaminopropaneNNdi14butanedioicacid,Nd+++,train
731,C11H8O6S_3,1Hydroxy4sulfo2naphthoicacid,Nd+++,train
741,C11H8O6S_4,3Hydroxy7sulfo2naphthoicacid,Nd+++,train
750,C11H8O9S2,1Hydroxy47disulfo2naphthoicacid,Nd+++,train
757,C11H9N3O2,42Pyridylazo13dihydroxybenzeneC5H4NNNC6H3OH2,Nd+++,test
769,C11H9N3O2,42Pyridylazo13dihydroxybenzeneC5H4NNNC6H3OH2,Nd+++,train
786,C12H12N2O3,1Ethyl14dihydro7methyl4oxo18naphthyridine3carboxylicacid,Nd+++,train
799,C12H12NO3Cl,2Chloro4dimethylaminobenzylidenepyruvicacidCH32NC6H3ClCHCHCOCOOH,Nd+++,train
812,C12H13NO3,4DimethylaminobenzylidenepyruvicacidCH32NC6H4CHCHCOCOOH,Nd+++,train
823,C12H16O7S,23Benzo14710tetraoxacyclododeca2ene4sulfonicacid,Nd+++,train
836,C12H18N2O5S,2Nitroso5Npropyl3sulfopropylaminophenol,Nd+++,train
858,C12H18N2O8_2,trans12DiaminocyclohexaneNNdipropanedioicacid,Nd+++,test
859,C12H18N2O8_2,trans12DiaminocyclohexaneNNdipropanedioicacid,Nd+++,train
875,C12H18N2O8_3,14Dioxa710diazayclododecane512dione710diethanoicacid,Nd+++,train
889,C12H20N2O8_1,12DiaminobutaneNNNNtetraethanoicacidHOOCCH22NCH2CHC2H5NCH2COOH2,Nd+++,train
912,C12H20N2O8_2,12DiaminoethaneNNdi2pentane15dioicacidCH2NHCHCOOHCH2CH2COOH2,Nd+++,test
913,C12H20N2O8_2,12DiaminoethaneNNdi2pentane15dioicacidCH2NHCHCOOHCH2CH2COOH2,Nd+++,train
914,C12H20N2O8_2,12DiaminoethaneNNdi2pentane15dioicacidCH2NHCHCOOHCH2CH2COOH2,Nd+++,calibration_global
933,C12H20N2O8_3,12DiaminoethaneNNdiethanoicNNdi2propanoicacid,Nd+++,train
944,C12H20N2O8_4,DL23DiaminobutaneNNNNtetraethanoicacidHOOCCH22NCHCH3CHCH3NCH2COOH2,Nd+++,test
957,C12H20N2O8_4,DL23DiaminobutaneNNNNtetraethanoicacidHOOCCH22NCHCH3CHCH3NCH2COOH2,Nd+++,train
969,C12H20N2O8_5,meso23DiaminobutaneNNNNtetraethanoicacidHOOCCH22NCHCH3CHCH3NCH2COOH2,Nd+++,train
982,C12H20N2O8_6,12DiaminoethaneNNdiethanoicNNdipropanoicacid,Nd+++,test
994,C12H20N2O8_6,12DiaminoethaneNNdiethanoicNNdipropanoicacid,Nd+++,train
1015,C12H20N2O8S,22ThiobisethyliminodiethanoicacidSCH2CH2NCH2COOH22,Nd+++,train
1028,C12H20N2O9,OxabisethyleneiminodiethanoicacidHOOCCH22NCH2CH22O,Nd+++,train
1041,C12H20O8N2,2Methyl12diaminopropaneNNNNtetraethanoicacidHOOCCH22NCH2CCH32NCH2COOH2,Nd+++,train
1056,C12H21N3O6,147TriazacyclononaneNNNtriethanoicacid,Nd+++,train
1062,C12H21NO6,1Carboxy1aminoheptaneNNdiethanoicacidHOOCCHC6H13NCH2COOH2,Nd+++,train
1075,C12H24N4O4,14710Tetraazacyclododecane17bisethanoicacid,Nd+++,train
1085,C12H24O6,147101316Hexaoxacyclooctadecane,Nd+++,train
1097,C12H28N2O9P2,1410Trioxa713diazacyclopentadecane713diyldimethylenediphosphonicacid,Nd+++,train
1108,C12H30N6,147101316HexaazacyclooctadecanecycloNHCH2CH26,Nd+++,test
1119,C12H30N6,147101316HexaazacyclooctadecanecycloNHCH2CH26,Nd+++,train
1125,C12H8N2,110Phenanthroline,Nd+++,train
1128,C13H11NO2,NPhenylbenzohydroxamicacidC6H5CONC6H5OH,Nd+++,train
1130,C13H11NO4S,2Phenyliminomethyphenol4sulfonicacid,Nd+++,train
1140,C13H19NO3,212Hydroxyphenylethylimine3methylbutanoicacid,Nd+++,train
1149,C13H20N2O8,trans13Cyclopentanediaminotetraethanoicacid,Nd+++,train
1161,C13H22N2O8_1,12DiaminopentaneNNNNtetraethanoicacidHOOCCH22NCH2CHC3H7NCH2COOH2,Nd+++,train
1174,C13H22N2O8_2,24DiaminopentaneNNNNtetraethanoicacidHOOCCH22NCHCH3CH2CHCH3NCH2COOH2,Nd+++,train
1187,C13H22N2O8_3,3Methyl12diaminobutaneNNNNtetraethanoicacid,Nd+++,train
1200,C13H22N2O8_4,PentamethylenedinitrilotetraethanoicacidHOOCCH22NCH2CH22CH2,Nd+++,train
1213,C13H22N2O9,Bis2aminoethyletherNNNtriethanoicacidN3propanoicacid,Nd+++,train
1231,C13H9FO2S,12Thienyl3fluoro2hydroxyphenylprop1one2eneC4H3SCHCHCOC6H3OHF,Nd+++,train
1238,C14H10NO2F,12Pyridyl33fluoro2hydroxyphenylprop1one2eneC5H4NCHCHCOC6H3OHF,Nd+++,train
1248,C14H13NO4S,2Aminobenzenesulfonicacid2hydroxyacetophenoneSchiffbaseHSO3C6H4NCCH3C6H4OH,Nd+++,train
1259,C14H15NO3,64Dimethylaminophenyl2oxo35hexadienoicacid,Nd+++,train
1271,C14H16N2O8,12DiaminobenzeneNNNNtetraethanoicacidC6H4NCH2COOH22,Nd+++,train
1285,C14H19NO7,16Nitro36912tetraoxabicyclo1231octadeca1181416trien18ol,Nd+++,train
1294,C14H20O5,23Benzo1471013pentaoxacyclopentadeca2ene,Nd+++,train
1302,C14H20O8S,23Benzo1471013pentaoxacyclopentadeca2ene4sulfonicacid,Nd+++,train
1314,C14H22N2O8_1,trans12DiaminocyclohexaneNNNNtetraethanoicacid,Nd+++,calibration_global
1336,C14H22N2O8_1,trans12DiaminocyclohexaneNNNNtetraethanoicacid,Nd+++,calibration_local
1337,C14H22N2O8_1,trans12DiaminocyclohexaneNNNNtetraethanoicacid,Nd+++,calibration_local
1338,C14H22N2O8_1,trans12DiaminocyclohexaneNNNNtetraethanoicacid,Nd+++,calibration_local
1359,C14H22N2O8_1,trans12DiaminocyclohexaneNNNNtetraethanoicacid,Nd+++,train
1360,C14H22N2O8_1,trans12DiaminocyclohexaneNNNNtetraethanoicacid,Nd+++,test
1379,C14H22N2O8_2,cis13DiaminocyclohexaneNNNNtetraethanoicacid,Nd+++,train
1391,C14H22N2O8_3,cis14DiaminocyclohexaneNNNNtetraethanoicacid,Nd+++,train
1402,C14H22N2O8_4,trans13DiaminocyclohexaneNNNNtetraethanoicacid,Nd+++,train
1420,C14H22N2O8_5,trans14DiaminocyclohexaneNNNNtetraethanoicacid,Nd+++,train
1421,C14H22N2O8_5,trans14DiaminocyclohexaneNNNNtetraethanoicacid,Nd+++,test
1433,C14H22N2O8_6,cis12DiaminocyclohexaneNNNNtetraethanoicacid,Nd+++,train
1443,C14H22N2O9,147Trioxa1013diazacyclopentadecane815dione1013diethanoicacid,Nd+++,train
1459,C14H23N3O10,DiethylenetriaminepentaethanoicacidHOOCCH2NCH2CH2NCH2COOH22,Nd+++,test
1470,C14H23N3O10,DiethylenetriaminepentaethanoicacidHOOCCH2NCH2CH2NCH2COOH22,Nd+++,calibration_global
1481,C14H23N3O10,DiethylenetriaminepentaethanoicacidHOOCCH2NCH2CH2NCH2COOH22,Nd+++,train
1499,C14H24N2O10_1,EthyleneglycolOObis2aminoethyletherNNNNtetraethanoicacid,Nd+++,calibration_local
1510,C14H24N2O10_1,EthyleneglycolOObis2aminoethyletherNNNNtetraethanoicacid,Nd+++,train
1511,C14H24N2O10_1,EthyleneglycolOObis2aminoethyletherNNNNtetraethanoicacid,Nd+++,calibration_global
1512,C14H24N2O10_1,EthyleneglycolOObis2aminoethyletherNNNNtetraethanoicacid,Nd+++,calibration_local
1513,C14H24N2O10_1,EthyleneglycolOObis2aminoethyletherNNNNtetraethanoicacid,Nd+++,test
1514,C14H24N2O10_1,EthyleneglycolOObis2aminoethyletherNNNNtetraethanoicacid,Nd+++,calibration_local
1525,C14H24N2O10_2,NNBis2hydroxyethaneNNethanediaminedibutanedioicacid,Nd+++,train
1534,C14H24N2O8_1,12DiaminoethaneNNdiethanoicNNdi2butyricacid,Nd+++,train
1547,C14H24N2O8_2,12DiaminohexaneNNNNtetraethanoicacidHOOCCH2NCH2CHC4H9NCH2COOH2,Nd+++,train
1560,C14H24N2O8_3,4Methyl12diaminopentaneNNNNtetraethanoicacidHOOCCH22NCH2CHNCH2COOH2CH2CHCH32,Nd+++,train
1573,C14H24N2O8_5,DiaminoethaneNNDiethylacetoNNdiethanoicacidCH2NCH2COOHCH2COOC2H52,Nd+++,train
1586,C14H24N2O9,Bis3dicarboxymethylaminopropylether,Nd+++,train
1606,C14H25N3O8,NNBis2aminoethylethylamineNNNNtetraethanoicacid,Nd+++,train
1621,C14H26N2O7,1410Trioxa713diazacyclopentadecaneNNdiethanoicacid,Nd+++,train
1645,C14H28N2O6,141013Tetraoxa716diazacyclooctadecane7ethanoicacid,Nd+++,train
1658,C14H32N2O10P2,141013Tetraoxa716diazacyclooctadecane716diyldimethylenediphosphonicacid,Nd+++,train
1667,C14H34N4O6P2,14710Tetraazacyclododecane17bismethanephosphonicacidmonoethylester,Nd+++,train
1669,C14H36N4O12P4,14711TetraazacyclotetradecaneNNNNtetramethylphosphonicacid,Nd+++,train
1680,C14H8O7S,12Dihydroxyanthraquinone3sulfonicacidAlizarinRedS,Nd+++,test
1681,C14H8O7S,12Dihydroxyanthraquinone3sulfonicacidAlizarinRedS,Nd+++,train
1693,C15H12OS,monoThiodibenzoylmethaneC6H5COCH2CSC6H5,Nd+++,train
1704,C15H20N2O6,NBenzyldiaminoethaneNNNtriethanoicacid,Nd+++,train
1719,C15H25N3O10,DiethylenetriamineNNNNtetraethanoicacidNpropanoicacid,Nd+++,train
1732,C15H26N4O9_1,DiethylenetriamineNNNNNpentaethanoicacidNmethylamide_1,Nd+++,train
1745,C15H26N4O9_2,DiethylenetriamineNNNNNpentaethanoicacidNmethylamide_2,Nd+++,train
1779,C16H18N4,NNDimethyl110phenanthroline29dimethanamine,Nd+++,train
1805,C16H20N2O8,1PhenylethylenediamineNNNNtetraethanoicacidDL,Nd+++,train
1816,C16H23NO8_1,19Nitro3691215pentaoxabicyclo15131heneicosa1211719trien21ol,Nd+++,train
1821,C16H23NO8_2,234Nitrobenzo147101316hexaoxacyclooctadeca2ene4Nitrobenzo18crown6,Nd+++,train
1829,C16H24O9S,23Benzo14101316hexaoxacyclooctadeca2ene4sulfonicacid,Nd+++,train
1840,C16H26N2O10,14710Tetraoxa1316diazacyclooctadecane1118dione1316diethanoicacid,Nd+++,train
1856,C16H27N5O8_1,147Triscarboxymethyl1471013pentaazacyclopentadecan914dione,Nd+++,train
1869,C16H27N5O8_2,41013Triscarboxymethyl1471013pentaazacyclopentadeca815dione,Nd+++,train
1882,C16H28N2O8_3,12DiaminoethaneNNdiethanoicNNdi23methylbutanoicacid,Nd+++,train
1895,C16H28N2O8_4,12DiaminoethaneNNdiethanoicNNdi2pentanoicacid,Nd+++,train
1908,C16H28N2O8_5,12DiaminooctaneNNNNtetraethanoicacidHOOCCH22NCH2CHC6H13NCH2COOH2,Nd+++,train
1943,C16H28N4O8,14710Tetraazacyclododecane14710tetraethanoicacid,Nd+++,test
1944,C16H28N4O8,14710Tetraazacyclododecane14710tetraethanoicacid,Nd+++,train
1973,C16H30N2O8,141013Tetraoxa716diazacyclooctadecaneNNdiethanoicacid,Nd+++,train
2003,C16H32N8O4,14710Tetraazacyclododecane14710tetraacetamide,Nd+++,train
2019,C17H20N3O3F,1Ethyl6fluoro74methylpyperazine1yl4oxo14dihydroquinoline3carboxylicacid,Nd+++,train
2032,C17H23N4O4BrS,25Bromo2pyridylazo5Npropyl3sulfopropylaminophenol,Nd+++,train
2040,C17H24N4O6,36915Tetraazabicyclo931pentadeca1151113triene369triethanoicacid,Nd+++,train
2050,C17H29N3O10,Bis3biscarboxymethylaminopropylmethylammonioethanoate,Nd+++,train
2075,C18H18N4,Tris2pyridylmethylamineC5H4NCH23N,Nd+++,train
2088,C18H20N2O6_2,NNEthylenebis22hydroxyphenylglycineHOOCCHC6H4OHNHCH22,Nd+++,train
2096,C18H22N4O4,NNBis2pyridylmethyldiaminoethaneNNdiethanoicacid,Nd+++,train
2099,C18H24N6O9,NNNTris3hydroxyamino3oxopropyl135benzenetricarboxamideC6H3CONHCH2CH2CONHOH3,Nd+++,train
2109,C18H25N3O8,NNBis2aminoethylanilineNNNNtetraethanoicacid,Nd+++,train
2126,C18H30N2O11,1471013Pentaoxa1619diazacycloeicosane1421dione1619diethanoicacid,Nd+++,train
2138,C18H30N4O12,TriethylenetetraaminehexaethanoicacidHOOCCH22NCH2CH2NCH2COOHCH22,Nd+++,calibration_global
2152,C18H30N4O12,TriethylenetetraaminehexaethanoicacidHOOCCH22NCH2CH2NCH2COOHCH22,Nd+++,calibration_global
2153,C18H30N4O12,TriethylenetetraaminehexaethanoicacidHOOCCH22NCH2CH2NCH2COOHCH22,Nd+++,test
2154,C18H30N4O12,TriethylenetetraaminehexaethanoicacidHOOCCH22NCH2CH2NCH2COOHCH22,Nd+++,calibration_local
2170,C18H30N4O12,TriethylenetetraaminehexaethanoicacidHOOCCH22NCH2CH2NCH2COOHCH22,Nd+++,train
2183,C18H32N4O8,14811Tetraazacyclotetradecane14811tetraethanoicacid,Nd+++,test
2190,C18H32N4O8,14811Tetraazacyclotetradecane14811tetraethanoicacid,Nd+++,train
2203,C18H34N2O8,141013Tetraoxa716diazacyclooctadecane716di3propanoicacid,Nd+++,train
2215,C18H34N4O9,1023Dihydroxy1hydroxymethylpropyl14710tetraazacyclododecane147triethanoicac,Nd+++,train
2232,C18H40N2O10P2,141013Tetraoxa716diazacyclooctadecane716diyldimethylenediphosphonicacidbisEtester,Nd+++,train
2238,C19H14O7S,PyrocatecholViolet334Dihydroxyphenyl3hydroxy4oxo25cyclohexadien1ylidenemethylb,Nd+++,train
2262,C20H13N3O7S,11Hydroxy2naphthylazo6nitro2naphthol4sulfonicacid,Nd+++,train
2272,C20H14N2O11S3,34Sulfonaphthylazochromotropicacid,Nd+++,train
2281,C20H14N2O5S,11Hydroxy2naphthylazo2naphthol4sulfonicacidMordantBlack3EriochromeblueblackB,Nd+++,train
2285,C20H22N4O4,NNDipropionicacid2yl29diaminomethylphenanthroline,Nd+++,train
2300,C20H24N2O6,NNDi2hydroxybenzyldiaminoethaneNNdiethanoicacid,Nd+++,train
2310,C20H24O12S2,231112Dibenzo147101316hexaoxacyclooctadeca211diene44disulfonicacid,Nd+++,train
2326,C20H35N5O10_1,147Triscarboxymethyl1316dioxa1471019pentaazacycloheneicosa920dione,Nd+++,train
2340,C20H35N5O10_2,1471013PentaazacyclopentadecaneNNNNNpentaethanoicacid,Nd+++,train
2346,C20H37N5O10,NNBis2methoxyethylcarbamoylmethyldiethylenetriamine,Nd+++,train
2365,C22H17N4O14ClP2S2,27Bis4chloro2phosphophenylazochromotropicacid,Nd+++,train
2369,C22H19N3O4S,N34DiMe5isoxazolyl42hydroxy1naphthalenylmethyleneaminobenzenesulfonamide,Nd+++,train
2378,C22H24N2O10,12Bis2aminophenoxyethaneNNNNtetraethanoicacid,Nd+++,train
2394,C22H26N4O10,12BisoaminophenoxyethaneNNNNtetraethanoicacidHOOCCH22NCHOC6H4NH22,Nd+++,train
2405,C22H28O13S2,231112Dibenzo14710131619heptaoxacycloheneicosa211diene44disulfonicacid,Nd+++,train
2419,C22H30N4,NNBis11dimethylethyl110phenanthroline29dimethanamine,Nd+++,train
2437,C22H37N5O14,Tetraethylenepentamineheptaethanoicacid,Nd+++,test
2451,C22H37N5O14,Tetraethylenepentamineheptaethanoicacid,Nd+++,train
2458,C22H40N4O8,571214Tetramethyl14811tetraazacyclotetradecaneNNNNtetraethanoicacid,Nd+++,train
2465,C22H41N5O10,NNBismethyl2methoxyethylcarbamoylmethyldiethylenetriamine,Nd+++,train
2474,C24H29N3O12S3,123Tris2hydroxy5sulfobenzylaminopropane,Nd+++,train
2478,C24H30N4O4,NN110Phenanthroline29diylbismethylenebisvaline,Nd+++,train
2486,C24H32O14S2,231112Dibenzo1471013161922octaoxacyclotetracosa214diene44disulfonicacid,Nd+++,train
2494,C24H40N8O12,NNNN14710Tetraazacyclododecane14710tetrayltetra1oxo21ethanediyltetragly,Nd+++,train
2502,C24H42N6O12,147101316HexaazacyclooctadecaneNNNNNNhexaethanoicacid,Nd+++,train
2509,C24H45N5O12,NNBis2hydroxyethyl2methoxyethylcarbamoylmethyldiethylenetriamine,Nd+++,train
2513,C25H32N2O7,115Diaza341213dibenzo5811trioxacycloctadecaneNNdiethanoicacid,Nd+++,train
2526,C26H27N3O10,22Amino5methylphenoxymethyl6methoxy8aminoquinolineNNNNtetraethanoicacid,Nd+++,train
2536,C26H33N3O12S3,111Tris2hydroxy5sulfobenzylaminomethylethane,Nd+++,train
2553,C27H36N4O12S3,Tris2hydroxy5sulfobenzylaminoethylamine,Nd+++,train
2557,C27H45N3O6,NNN135BenzenetriyltrismethylenetrisLleucine,Nd+++,train
2563,C28H40N4O4,714Dimethyl512diphenyl14811tetraazacyclotetradecane18diethanoicacid,Nd+++,train
2583,C2H2O3,GlyoxylicacidOHCCOOH,Nd+++,train
2602,C2H2O4,EthanedioicacidCOOH2,Nd+++,train
2613,C2H2O4,EthanedioicacidCOOH2,Nd+++,test
2622,C2H3N3S2,2Amino5mercapto134thiadiazole,Nd+++,train
2658,C2H4O2,EthanoicacidCH3COOH,Nd+++,calibration_global
2659,C2H4O2,EthanoicacidCH3COOH,Nd+++,calibration_global
2660,C2H4O2,EthanoicacidCH3COOH,Nd+++,calibration_local
2661,C2H4O2,EthanoicacidCH3COOH,Nd+++,calibration_global
2662,C2H4O2,EthanoicacidCH3COOH,Nd+++,test
2663,C2H4O2,EthanoicacidCH3COOH,Nd+++,calibration_local
2664,C2H4O2,EthanoicacidCH3COOH,Nd+++,calibration_local
2665,C2H4O2,EthanoicacidCH3COOH,Nd+++,calibration_global
2680,C2H4O2,EthanoicacidCH3COOH,Nd+++,calibration_local
2681,C2H4O2,EthanoicacidCH3COOH,Nd+++,train
2691,C2H4O2S,MercaptoethanoicacidHSCH2COOH,Nd+++,test
2692,C2H4O2S,MercaptoethanoicacidHSCH2COOH,Nd+++,train
2693,C2H4O2S,MercaptoethanoicacidHSCH2COOH,Nd+++,calibration_global
2737,C2H4O3,2HydroxyethanoicacidHOCH2COOH,Nd+++,train
2738,C2H4O3,2HydroxyethanoicacidHOCH2COOH,Nd+++,calibration_local
2739,C2H4O3,2HydroxyethanoicacidHOCH2COOH,Nd+++,test
2740,C2H4O3,2HydroxyethanoicacidHOCH2COOH,Nd+++,calibration_local
2741,C2H4O3,2HydroxyethanoicacidHOCH2COOH,Nd+++,calibration_local
2742,C2H4O3,2HydroxyethanoicacidHOCH2COOH,Nd+++,calibration_local
2743,C2H4O3,2HydroxyethanoicacidHOCH2COOH,Nd+++,calibration_local
2744,C2H4O3,2HydroxyethanoicacidHOCH2COOH,Nd+++,calibration_global
2745,C2H4O3,2HydroxyethanoicacidHOCH2COOH,Nd+++,calibration_global
2765,C2H4O3,2HydroxyethanoicacidHOCH2COOH,Nd+++,calibration_global
2777,C2H5NO2_1,2AminoethanoicacidH2NCH2COOH,Nd+++,calibration_global
2778,C2H5NO2_1,2AminoethanoicacidH2NCH2COOH,Nd+++,calibration_local
2779,C2H5NO2_1,2AminoethanoicacidH2NCH2COOH,Nd+++,calibration_global
2780,C2H5NO2_1,2AminoethanoicacidH2NCH2COOH,Nd+++,calibration_global
2781,C2H5NO2_1,2AminoethanoicacidH2NCH2COOH,Nd+++,calibration_global
2782,C2H5NO2_1,2AminoethanoicacidH2NCH2COOH,Nd+++,calibration_local
2783,C2H5NO2_1,2AminoethanoicacidH2NCH2COOH,Nd+++,calibration_local
2795,C2H5NO2_1,2AminoethanoicacidH2NCH2COOH,Nd+++,calibration_local
2796,C2H5NO2_1,2AminoethanoicacidH2NCH2COOH,Nd+++,train
2805,C2H5NO2_1,2AminoethanoicacidH2NCH2COOH,Nd+++,test
2811,C2H5O2Cl2P,DichloromethylphosphinicacidClCH22POOH,Nd+++,train
2820,C2H8NO4P,2AminoethyldihydrogenphosphoricacidH2NCH2CH2OPO3H2,Nd+++,train
2841,C33H45N7O3,Tris62NNdiethylcarbamoylpyridylmethylamine,Nd+++,train
2849,C36H39N3O6,NNN135BenzenetriyltrismethylenetrisLphenylalanine,Nd+++,train
2859,C36H60O30,alphaCyclodextrinCyclohexaamylose,Nd+++,train
2865,C3H11NO6P2,DimethylaminoNmethylenediphosphonicacidCH32NCHPO3H22,Nd+++,train
2871,C3H12NO9P3,NitrilotrismethylenephosphonicacidNCH2PO3H23,Nd+++,train
2876,C3H4O2,PropenoicacidCH2CHCOOH,Nd+++,train
2886,C3H4O3,2OxopropanoicacidCH3COCOOH,Nd+++,train
2914,C3H4O4,PropanedioicacidCH2COOH2,Nd+++,calibration_local
